id,sup,tot,ht_h,ht_a,ft_h,ft_a
1420,1.22,2.82,0,0,2,1
1421,-0.45,2.46,1,0,1,5
1422,0.48,2.58,1,0,2,0
1423,0.02,2.16,0,0,1,0
1424,0.36,2.94,1,2,3,3
1425,0.49,2.34,1,0,1,1
1426,-0.7,2.88,1,0,1,2
1427,-0.17,2.47,1,1,1,2
1428,-0.11,2.34,1,1,1,1
1429,-0.2,3,1,0,3,2
1430,-0.02,2.59,0,1,1,1
1431,-0.87,2.63,0,0,0,0
1432,1.54,2.8,2,0,5,1
1433,-0.07,2.3,0,1,1,1
1434,-0.21,2.84,1,0,2,0
1435,0.5,2.2,0,0,1,0
1436,0.76,3.01,0,0,1,0
1437,1.22,2.59,0,1,0,1
1438,-0.72,2.77,0,1,1,3
1439,1.6,2.85,2,0,3,1
1440,1.03,2.59,1,0,1,0
1441,1.92,3.08,0,0,1,0
1442,1.28,2.96,1,0,2,0
1443,0.49,2.19,1,0,4,1
1444,1.95,3.06,2,1,4,2
1445,-0.29,2.63,0,1,1,1
1446,0.95,2.25,0,0,1,0
1447,0.27,2.51,2,0,3,0
1448,-0.12,2.58,1,1,1,2
1449,0.19,2.13,0,0,2,1
1450,0.58,2.23,1,0,1,0
1451,-0.32,2.5,0,0,3,1
1452,0.03,2.64,1,0,1,0
1453,-1.13,2.64,0,2,0,2
1454,0.34,2.62,1,2,1,3
1455,-0.04,2.47,0,0,0,2
1456,-0.97,3.1,0,2,0,3
1457,0.6,3.33,0,1,1,3
1458,1.18,2.6,0,0,0,0
1459,-0.5,2.45,0,1,1,1
1460,0.83,2.56,1,1,1,1
1461,0.13,2.46,2,0,3,0
1462,0.66,2.36,0,1,1,2
1463,0.4,3.09,0,1,0,2
1464,0.34,2.81,2,1,4,2
1465,-1.71,3.01,0,0,0,0
1466,0,2.78,0,1,2,1
1467,0.52,2.68,1,0,1,0
1468,-0.15,2.73,1,0,1,2
1469,-1.48,3.25,0,0,2,2
1470,-1.03,2.67,0,0,0,1
1471,-0.01,2.65,0,0,1,0
1472,0.48,3.02,2,0,3,2
1473,0.23,2.43,0,2,1,3
1474,0.49,3.03,1,0,2,2
1475,-0.1,2.33,0,1,0,2
1476,0.96,3.04,3,1,5,1
1477,0.75,2.44,0,0,0,1
1478,-0.32,2.59,0,1,0,1
1479,0.51,2.55,1,0,1,1
1480,1.23,3.17,0,0,0,0
1481,0.16,2.71,1,0,1,1
1482,-0.46,2.58,0,1,2,2
1483,0.87,2.46,0,0,1,0
1484,0.15,2.34,0,0,1,1
1485,1.04,2.7,2,0,2,1
1486,1.74,3.01,0,1,1,2
1487,1.35,2.52,1,1,4,2
1488,0.11,2.58,0,1,1,2
1489,0.53,3.02,1,0,3,0
1490,1.82,2.85,0,0,2,0
1491,0.11,3.15,0,1,3,1
1492,-0.12,2.68,0,1,0,2
1493,0.13,2.27,0,0,1,0
1494,0.62,3.14,0,1,1,2
1495,-0.07,2.21,0,1,0,3
1496,1.04,2.75,2,1,5,1
1497,0.22,2.84,2,0,4,0
1498,0.73,2.29,1,0,1,0
1499,-1.44,3.03,0,1,0,2
1500,0.15,2.19,1,0,2,0
1501,0.78,2.27,0,1,1,1
1502,0.58,2.64,0,0,2,0
1503,1.61,3.04,1,0,1,0
1504,0.12,2.5,2,2,2,4
1505,0.34,2.21,0,1,2,2
1506,0.66,2.3,1,1,1,2
1507,0.11,2.65,0,1,0,2
1508,0.71,2.42,0,0,1,2
1509,0.89,2.58,0,0,0,0
1510,0.09,2.41,0,0,1,0
1511,0.44,2.94,1,1,5,1
1512,0.06,2.32,1,0,2,1
1513,0.41,2.52,2,0,2,1
1514,-0.26,3.07,0,0,1,0
1515,0.23,2.13,1,1,1,1
1516,0.25,3.1,1,0,1,1
1517,-0.51,2.74,0,0,3,1
1518,1.71,3.11,2,0,2,1
1519,1,3.07,1,0,2,0
1520,0.72,2.6,1,0,2,1
1521,0.32,2.67,0,0,1,0
1522,0.73,2.46,0,1,1,1
1523,0.7,2.71,0,0,1,0
1524,-0.52,2.62,1,0,1,0
1525,0.5,3.03,0,0,0,0
1526,0.72,2.9,1,0,3,0
1527,0.37,2.34,0,0,0,0
1528,0.84,2.81,0,1,0,3
1529,1.4,2.78,2,1,4,1
1530,0.38,2.65,1,0,3,0
1531,0.61,2.34,0,1,0,1
1532,-0.95,2.88,0,1,0,1
1533,0.16,2.4,0,2,2,2
1534,-0.34,2.75,0,1,3,2
1535,0.55,2.38,1,0,1,1
1536,0.18,2.93,0,0,0,0
1537,0.14,2.33,0,0,0,0
1538,-0.18,2.87,2,0,2,1
1539,-0.8,2.55,1,0,1,0
1540,0.54,2.47,0,0,1,1
1541,0.43,2.8,0,0,0,0
1542,-0.08,2.38,0,0,0,0
1543,0.87,2.34,1,1,2,1
1544,-0.1,2.65,0,1,1,2
1545,0.19,2.49,0,0,0,0
1546,-0.35,2.7,3,0,4,1
1547,-0.04,3.12,0,0,2,1
1548,-0.23,3.05,0,0,2,0
1549,-0.15,2.9,0,1,1,1
1550,-0.08,2.5,2,0,2,0
1551,0.76,2.67,0,0,3,1
1552,-0.75,2.44,0,0,0,2
1553,1.14,2.38,0,0,0,0
1554,0.87,2.43,0,0,1,0
1555,-0.22,3.01,2,0,3,2
1556,0.2,2.86,3,1,4,1
1557,-0.68,2.21,0,0,1,1
1558,0.53,2.64,1,0,1,1
1559,-0.07,2.65,1,1,1,1
1560,0.16,2.16,1,0,1,0
1561,-0.8,2.46,0,0,0,0
1562,-0.18,2.79,2,0,6,1
1563,0.15,2.62,4,0,5,0
1564,0.75,3.02,0,0,2,1
1565,0.53,2.9,0,1,2,1
1566,0.15,1.98,0,0,0,0
1567,0.72,2.83,1,0,3,0
1568,0.59,2.99,0,0,1,0
1569,0.18,2.43,0,0,1,2
1570,0.4,2.9,1,0,1,0
1571,0.06,2.26,0,0,0,0
1572,0.91,2.78,1,0,2,1
1573,0.26,2.56,1,1,2,1
1574,0.9,3.17,0,1,1,2
1575,-0.03,2.47,0,0,1,0
1576,0.61,2.92,1,1,1,3
1577,0.99,2.84,2,0,3,0
1578,0.71,2.52,0,0,2,1
1579,0.17,2.58,0,1,2,1
1580,-0.29,2.37,1,2,2,2
1581,0.82,2.44,3,0,4,1
1582,0.53,2.6,1,1,1,2
1583,-0.41,3.15,0,0,1,0
1584,0.99,3.08,0,0,3,0
1585,0.36,2.39,0,0,1,0
1586,1.11,2.88,1,1,2,1
1587,0.22,2.86,1,0,2,0
1588,0.4,2.31,1,0,2,0
1589,0.79,2.69,0,0,3,0
1590,-0.06,2.31,1,0,1,0
1591,-0.15,2.89,1,0,1,1
1592,0.49,2.94,0,0,0,0
1593,-1.23,3.22,1,1,1,3
1594,0.39,2.61,0,2,0,4
1595,-1.12,3.37,0,3,2,3
1596,0.08,3,1,2,3,3
1597,-1.08,3.03,0,1,0,2
1598,0.29,2.63,0,0,1,0
1599,1.15,2.52,0,0,2,1
1600,0.33,2.48,1,1,1,2
1601,0.49,2.83,0,0,1,0
